Словоформа:'и' Частота:725 IPM:45272
Словоформа:'жизнь' Частота:24 IPM:1498
Словоформа:'потом' Частота:23 IPM:1436
Словоформа:'себя' Частота:23 IPM:1436
Словоформа:'***' Частота:22 IPM:1373
Словоформа:'даже' Частота:22 IPM:1373
Словоформа:'себе' Частота:22 IPM:1373
Словоформа:'совершенно' Частота:22 IPM:1373
Словоформа:'своего' Частота:21 IPM:1311
Словоформа:'роберта' Частота:20 IPM:1248
Словоформа:'девочка' Частота:19 IPM:1186
Словоформа:'со' Частота:19 IPM:1186
Словоформа:'теперь' Частота:19 IPM:1186
Словоформа:'время' Частота:18 IPM:1124
Словоформа:'перед' Частота:18 IPM:1124
Словоформа:'после' Частота:17 IPM:1061
Словоформа:'через' Частота:17 IPM:1061
Словоформа:'чтобы' Частота:17 IPM:1061
Словоформа:'этот' Частота:17 IPM:1061
Словоформа:'викторовича' Частота:16 IPM:999
Словоформа:'жизни' Частота:16 IPM:999
Словоформа:'лет' Частота:16 IPM:999
Словоформа:'ней' Частота:16 IPM:999
Словоформа:'такой' Частота:16 IPM:999
Словоформа:'этого' Частота:16 IPM:999
Словоформа:'годы' Частота:15 IPM:936
Словоформа:'который' Частота:15 IPM:936
Словоформа:'свой' Частота:15 IPM:936
Словоформа:'этой' Частота:15 IPM:936
Словоформа:'день' Частота:14 IPM:874
Словоформа:'него' Частота:14 IPM:874
Словоформа:'свою' Частота:14 IPM:874
Словоформа:'собой' Частота:14 IPM:874
Словоформа:'чем' Частота:14 IPM:874
Словоформа:'этом' Частота:14 IPM:874
Словоформа:'времени' Частота:13 IPM:811
Словоформа:'всю' Частота:13 IPM:811
Словоформа:'глаза' Частота:13 IPM:811
Словоформа:'два' Частота:13 IPM:811
Словоформа:'которые' Частота:13 IPM:811
Словоформа:'никогда' Частота:13 IPM:811
Словоформа:'про' Частота:13 IPM:811
Словоформа:'роберту' Частота:13 IPM:811
Словоформа:'свои' Частота:13 IPM:811
Словоформа:'того' Частота:13 IPM:811
Словоформа:'ясю' Частота:13 IPM:811
Словоформа:'головой' Частота:12 IPM:749
Словоформа:'голову' Частота:12 IPM:749
Словоформа:'если' Частота:12 IPM:749
Словоформа:'или' Частота:12 IPM:749
Словоформа:'которая' Частота:12 IPM:749
Словоформа:'которое' Частота:12 IPM:749
Словоформа:'ним' Частота:12 IPM:749
Словоформа:'свое' Частота:12 IPM:749
Словоформа:'соне' Частота:12 IPM:749
Словоформа:'тем' Частота:12 IPM:749
Словоформа:'тому' Частота:12 IPM:749
Словоформа:'более' Частота:11 IPM:686
Словоформа:'весь' Частота:11 IPM:686
Словоформа:'вот' Частота:11 IPM:686
Словоформа:'да' Частота:11 IPM:686
Словоформа:'давно' Частота:11 IPM:686
Словоформа:'долго' Частота:11 IPM:686
Словоформа:'куда' Частота:11 IPM:686
Словоформа:'ли' Частота:11 IPM:686
Словоформа:'мужа' Частота:11 IPM:686
Словоформа:'немного' Частота:11 IPM:686
Словоформа:'один' Частота:11 IPM:686
Словоформа:'своих' Частота:11 IPM:686
Словоформа:'совсем' Частота:11 IPM:686
Словоформа:'стала' Частота:11 IPM:686
Словоформа:'эта' Частота:11 IPM:686
Словоформа:'будто' Частота:10 IPM:624
Словоформа:'викторовичу' Частота:10 IPM:624
Словоформа:'вместе' Частота:10 IPM:624
Словоформа:'глаз' Частота:10 IPM:624
Словоформа:'дом' Частота:10 IPM:624
Словоформа:'дочери' Частота:10 IPM:624
Словоформа:'здесь' Частота:10 IPM:624
Словоформа:'казалось' Частота:10 IPM:624
Словоформа:'кто' Частота:10 IPM:624
Словоформа:'мастерскую' Частота:10 IPM:624
Словоформа:'несколько' Частота:10 IPM:624
Словоформа:'ничего' Частота:10 IPM:624
Словоформа:'при' Частота:10 IPM:624
Словоформа:'раз' Частота:10 IPM:624
Словоформа:'сам' Частота:10 IPM:624
Словоформа:'сказал' Частота:10 IPM:624
Словоформа:'сонечки' Частота:10 IPM:624
Словоформа:'сони' Частота:10 IPM:624
Словоформа:'тане' Частота:10 IPM:624
Словоформа:'тани' Частота:10 IPM:624
Словоформа:'ты' Частота:10 IPM:624
Словоформа:'вдруг' Частота:9 IPM:562
Словоформа:'вниз' Частота:9 IPM:562
Словоформа:'всегда' Частота:9 IPM:562
Словоформа:'всех' Частота:9 IPM:562
Словоформа:'есть' Частота:9 IPM:562
Словоформа:'именно' Частота:9 IPM:562
Словоформа:'которой' Частота:9 IPM:562
Словоформа:'лицо' Частота:9 IPM:562
Словоформа:'может' Частота:9 IPM:562
Словоформа:'нет' Частота:9 IPM:562
Словоформа:'них' Частота:9 IPM:562
Словоформа:'почти' Частота:9 IPM:562
Словоформа:'руки' Частота:9 IPM:562
Словоформа:'руку' Частота:9 IPM:562
Словоформа:'сама' Частота:9 IPM:562
Словоформа:'сильно' Частота:9 IPM:562
Словоформа:'стал' Частота:9 IPM:562
Словоформа:'столь' Частота:9 IPM:562
Словоформа:'такое' Частота:9 IPM:562
Словоформа:'тоже' Частота:9 IPM:562
Словоформа:'без' Частота:8 IPM:499
Словоформа:'белые' Частота:8 IPM:499
Словоформа:'груди' Частота:8 IPM:499
Словоформа:'дверь' Частота:8 IPM:499
Словоформа:'двух' Частота:8 IPM:499
Словоформа:'дня' Частота:8 IPM:499
Словоформа:'дома' Частота:8 IPM:499
Словоформа:'которую' Частота:8 IPM:499
Словоформа:'легко' Частота:8 IPM:499
Словоформа:'мастерской' Частота:8 IPM:499
Словоформа:'между' Частота:8 IPM:499
Словоформа:'могла' Частота:8 IPM:499
Словоформа:'нем' Частота:8 IPM:499
Словоформа:'образом' Частота:8 IPM:499
Словоформа:'пока' Частота:8 IPM:499
Словоформа:'самого' Частота:8 IPM:499
Словоформа:'снова' Частота:8 IPM:499
Словоформа:'сонечке' Частота:8 IPM:499
Словоформа:'соню' Частота:8 IPM:499
Словоформа:'стоял' Частота:8 IPM:499
Словоформа:'те' Частота:8 IPM:499
Словоформа:'ту' Частота:8 IPM:499
Словоформа:'чуть' Частота:8 IPM:499
Словоформа:'ясей' Частота:8 IPM:499
Словоформа:'бедная' Частота:7 IPM:437
Словоформа:'больше' Частота:7 IPM:437
Словоформа:'будет' Частота:7 IPM:437
Словоформа:'быть' Частота:7 IPM:437
Словоформа:'вверх' Частота:7 IPM:437
Словоформа:'вполне' Частота:7 IPM:437
Словоформа:'всей' Частота:7 IPM:437
Словоформа:'голосом' Частота:7 IPM:437
Словоформа:'две' Частота:7 IPM:437
Словоформа:'доме' Частота:7 IPM:437
Словоформа:'знал' Частота:7 IPM:437
Словоформа:'знала' Частота:7 IPM:437
Словоформа:'книги' Частота:7 IPM:437
Словоформа:'комнате' Частота:7 IPM:437
Словоформа:'комнату' Частота:7 IPM:437
Словоформа:'лишь' Частота:7 IPM:437
Словоформа:'мать' Частота:7 IPM:437
Словоформа:'меня' Частота:7 IPM:437
Словоформа:'над' Частота:7 IPM:437
Словоформа:'оказалось' Частота:7 IPM:437
Словоформа:'отношения' Частота:7 IPM:437
Словоформа:'очень' Частота:7 IPM:437
Словоформа:'руках' Частота:7 IPM:437
Словоформа:'рядом' Частота:7 IPM:437
Словоформа:'самое' Частота:7 IPM:437
Словоформа:'своим' Частота:7 IPM:437
Словоформа:'скорее' Частота:7 IPM:437
Словоформа:'словно' Частота:7 IPM:437
Словоформа:'смерти' Частота:7 IPM:437
Словоформа:'смотрел' Частота:7 IPM:437
Словоформа:'спиной' Частота:7 IPM:437
Словоформа:'той' Частота:7 IPM:437
Словоформа:'тот' Частота:7 IPM:437
Словоформа:'трех' Частота:7 IPM:437
Словоформа:'часть' Частота:7 IPM:437
Словоформа:'читала' Частота:7 IPM:437
Словоформа:'этих' Частота:7 IPM:437
Словоформа:'эту' Частота:7 IPM:437
Словоформа:'ясе' Частота:7 IPM:437
Словоформа:'яси' Частота:7 IPM:437
Словоформа:'большой' Частота:6 IPM:374
Словоформа:'большую' Частота:6 IPM:374
Словоформа:'бумаги' Частота:6 IPM:374
Словоформа:'вас' Частота:6 IPM:374
Словоформа:'всем' Частота:6 IPM:374
Словоформа:'глазами' Частота:6 IPM:374
Словоформа:'говорила' Частота:6 IPM:374
Словоформа:'года' Частота:6 IPM:374
Словоформа:'господи' Частота:6 IPM:374
Словоформа:'губами' Частота:6 IPM:374
Словоформа:'двадцать' Частота:6 IPM:374
Словоформа:'дому' Частота:6 IPM:374
Словоформа:'каких' Частота:6 IPM:374
Словоформа:'конце' Частота:6 IPM:374
Словоформа:'котором' Частота:6 IPM:374
Словоформа:'лицом' Частота:6 IPM:374
Словоформа:'маленькая' Частота:6 IPM:374
Словоформа:'матери' Частота:6 IPM:374
Словоформа:'место' Частота:6 IPM:374
Словоформа:'мне' Частота:6 IPM:374
Словоформа:'новое' Частота:6 IPM:374
Словоформа:'однажды' Частота:6 IPM:374
Словоформа:'отец' Частота:6 IPM:374
Словоформа:'постоянно' Частота:6 IPM:374
Словоформа:'потому' Частота:6 IPM:374
Словоформа:'пришел' Частота:6 IPM:374
Словоформа:'ребенка' Частота:6 IPM:374
Словоформа:'родителей' Частота:6 IPM:374
Словоформа:'сказала' Частота:6 IPM:374
Словоформа:'сонечкой' Частота:6 IPM:374
Словоформа:'столом' Частота:6 IPM:374
Словоформа:'сторону' Частота:6 IPM:374
Словоформа:'там' Частота:6 IPM:374
Словоформа:'таниной' Частота:6 IPM:374
Словоформа:'танины' Частота:6 IPM:374
Словоформа:'тела' Частота:6 IPM:374
Словоформа:'тонкой' Частота:6 IPM:374
Словоформа:'уж' Частота:6 IPM:374
Словоформа:'школу' Частота:6 IPM:374
Словоформа:'шла' Частота:6 IPM:374
Словоформа:'алеша' Частота:5 IPM:312
Словоформа:'белого' Частота:5 IPM:312
Словоформа:'вечер' Частота:5 IPM:312
Словоформа:'видел' Частота:5 IPM:312
Словоформа:'викторовичем' Частота:5 IPM:312
Словоформа:'вокруг' Частота:5 IPM:312
Словоформа:'волосы' Частота:5 IPM:312
Словоформа:'впервые' Частота:5 IPM:312
Словоформа:'всего' Частота:5 IPM:312
Словоформа:'вы' Частота:5 IPM:312
Словоформа:'выйдя' Частота:5 IPM:312
Словоформа:'годов' Частота:5 IPM:312
Словоформа:'город' Частота:5 IPM:312
Словоформа:'двери' Частота:5 IPM:312
Словоформа:'девочки' Частота:5 IPM:312
Словоформа:'детства' Частота:5 IPM:312
Словоформа:'другой' Частота:5 IPM:312
Словоформа:'едва' Частота:5 IPM:312
Словоформа:'женской' Частота:5 IPM:312
Словоформа:'жены' Частота:5 IPM:312
Словоформа:'жувальский' Частота:5 IPM:312
Словоформа:'заметил' Частота:5 IPM:312
Словоформа:'им' Частота:5 IPM:312
Словоформа:'какие' Частота:5 IPM:312
Словоформа:'какое' Частота:5 IPM:312
Словоформа:'кому' Частота:5 IPM:312
Словоформа:'которых' Частота:5 IPM:312
Словоформа:'литературы' Частота:5 IPM:312
Словоформа:'лучше' Частота:5 IPM:312
Словоформа:'люди' Частота:5 IPM:312
Словоформа:'маленький' Частота:5 IPM:312
Словоформа:'много' Частота:5 IPM:312
Словоформа:'можно' Частота:5 IPM:312
Словоформа:'муж' Частота:5 IPM:312
Словоформа:'мужу' Частота:5 IPM:312
Словоформа:'мы' Частота:5 IPM:312
Словоформа:'наконец' Частота:5 IPM:312
Словоформа:'обычно' Частота:5 IPM:312
Словоформа:'однако' Частота:5 IPM:312
Словоформа:'оказалась' Частота:5 IPM:312
Словоформа:'отвращение' Частота:5 IPM:312
Словоформа:'откуда' Частота:5 IPM:312
Словоформа:'пан' Частота:5 IPM:312
Словоформа:'первого' Частота:5 IPM:312
Словоформа:'первой' Частота:5 IPM:312
Словоформа:'первые' Частота:5 IPM:312
Словоформа:'посмотрел' Частота:5 IPM:312
Словоформа:'посреди' Частота:5 IPM:312
Словоформа:'присутствие' Частота:5 IPM:312
Словоформа:'пыталась' Частота:5 IPM:312
Словоформа:'раннего' Частота:5 IPM:312
Словоформа:'рано' Частота:5 IPM:312
Словоформа:'робертом' Частота:5 IPM:312
Словоформа:'рук' Частота:5 IPM:312
Словоформа:'рулон' Частота:5 IPM:312
Словоформа:'свете' Частота:5 IPM:312
Словоформа:'сказать' Частота:5 IPM:312
Словоформа:'слова' Частота:5 IPM:312
Словоформа:'смотрела' Частота:5 IPM:312
Словоформа:'собственной' Частота:5 IPM:312
Словоформа:'соней' Частота:5 IPM:312
Словоформа:'сонечку' Частота:5 IPM:312
Словоформа:'сорок' Частота:5 IPM:312
Словоформа:'сплошь' Частота:5 IPM:312
Словоформа:'спустя' Частота:5 IPM:312
Словоформа:'старого' Частота:5 IPM:312
Словоформа:'таней' Частота:5 IPM:312
Словоформа:'танечка' Частота:5 IPM:312
Словоформа:'таню' Частота:5 IPM:312
Словоформа:'том' Частота:5 IPM:312
Словоформа:'три' Частота:5 IPM:312
Словоформа:'улыбалась' Частота:5 IPM:312
Словоформа:'училище' Частота:5 IPM:312
Словоформа:'части' Частота:5 IPM:312
Словоформа:'часу' Частота:5 IPM:312
Словоформа:'человек' Частота:5 IPM:312
Словоформа:'этим' Частота:5 IPM:312
Словоформа:'алешей' Частота:4 IPM:249
Словоформа:'белизной' Частота:4 IPM:249
Словоформа:'белой' Частота:4 IPM:249
Словоформа:'бориски' Частота:4 IPM:249
Словоформа:'быстро' Частота:4 IPM:249
Словоформа:'вещи' Частота:4 IPM:249
Словоформа:'возможности' Частота:4 IPM:249
Словоформа:'волны' Частота:4 IPM:249
Словоформа:'впрочем' Частота:4 IPM:249
Словоформа:'временем' Частота:4 IPM:249
Словоформа:'всеми' Частота:4 IPM:249
Словоформа:'вышел' Частота:4 IPM:249
Словоформа:'вышла' Частота:4 IPM:249
Словоформа:'гаврилин' Частота:4 IPM:249
Словоформа:'год' Частота:4 IPM:249
Словоформа:'деньги' Частота:4 IPM:249
Словоформа:'довольно' Частота:4 IPM:249
Словоформа:'домой' Частота:4 IPM:249
Словоформа:'дочь' Частота:4 IPM:249
Словоформа:'думал' Частота:4 IPM:249
Словоформа:'думала' Частота:4 IPM:249
Словоформа:'ежеминутно' Частота:4 IPM:249
Словоформа:'жилье' Частота:4 IPM:249
Словоформа:'забыл' Частота:4 IPM:249
Словоформа:'ивановича' Частота:4 IPM:249
Словоформа:'имела' Частота:4 IPM:249
Словоформа:'имя' Частота:4 IPM:249
Словоформа:'иногда' Частота:4 IPM:249
Словоформа:'каждая' Частота:4 IPM:249
Словоформа:'каждый' Частота:4 IPM:249
Словоформа:'кажется' Частота:4 IPM:249
Словоформа:'какая' Частота:4 IPM:249
Словоформа:'каким' Частота:4 IPM:249
Словоформа:'какого' Частота:4 IPM:249
Словоформа:'какой' Частота:4 IPM:249
Словоформа:'картины' Частота:4 IPM:249
Словоформа:'которого' Частота:4 IPM:249
Словоформа:'которым' Частота:4 IPM:249
Словоформа:'кресло' Частота:4 IPM:249
Словоформа:'лихоборы' Частота:4 IPM:249
Словоформа:'любви' Частота:4 IPM:249
Словоформа:'мало' Частота:4 IPM:249
Словоформа:'мальчиков' Частота:4 IPM:249
Словоформа:'месте' Частота:4 IPM:249
Словоформа:'минут' Частота:4 IPM:249
Словоформа:'мог' Частота:4 IPM:249
Словоформа:'молодой' Частота:4 IPM:249
Словоформа:'москве' Частота:4 IPM:249
Словоформа:'музыку' Частота:4 IPM:249
Словоформа:'мысли' Частота:4 IPM:249
Словоформа:'навстречу' Частота:4 IPM:249
Словоформа:'надо' Частота:4 IPM:249
Словоформа:'началась' Частота:4 IPM:249
Словоформа:'начале' Частота:4 IPM:249
Словоформа:'невозможно' Частота:4 IPM:249
Словоформа:'неожиданно' Частота:4 IPM:249
Словоформа:'нибудь' Частота:4 IPM:249
Словоформа:'нового' Частота:4 IPM:249
Словоформа:'нос' Частота:4 IPM:249
Словоформа:'ну' Частота:4 IPM:249
Словоформа:'обернулся' Частота:4 IPM:249
Словоформа:'одна' Частота:4 IPM:249
Словоформа:'одним' Частота:4 IPM:249
Словоформа:'одно' Частота:4 IPM:249
Словоформа:'одной' Частота:4 IPM:249
Словоформа:'окном' Частота:4 IPM:249
Словоформа:'опять' Частота:4 IPM:249
Словоформа:'особенно' Частота:4 IPM:249
Словоформа:'оставь' Частота:4 IPM:249
Словоформа:'острым' Частота:4 IPM:249
Словоформа:'отвечала' Частота:4 IPM:249
Словоформа:'отсутствие' Частота:4 IPM:249
Словоформа:'отцом' Частота:4 IPM:249
Словоформа:'первый' Частота:4 IPM:249
Словоформа:'писать' Частота:4 IPM:249
Словоформа:'платья' Частота:4 IPM:249
Словоформа:'подрамники' Частота:4 IPM:249
Словоформа:'пожалуйста' Частота:4 IPM:249
Словоформа:'понял' Частота:4 IPM:249
Словоформа:'попросила' Частота:4 IPM:249
Словоформа:'портреты' Частота:4 IPM:249
Словоформа:'поскольку' Частота:4 IPM:249
Словоформа:'постепенно' Частота:4 IPM:249
Словоформа:'почему' Частота:4 IPM:249
Словоформа:'работала' Частота:4 IPM:249
Словоформа:'рукой' Частота:4 IPM:249
Словоформа:'русской' Частота:4 IPM:249
Словоформа:'самые' Частота:4 IPM:249
Словоформа:'своем' Частота:4 IPM:249
Словоформа:'сейчас' Частота:4 IPM:249
Словоформа:'села' Частота:4 IPM:249
Словоформа:'семья' Частота:4 IPM:249
Словоформа:'сестра' Частота:4 IPM:249
Словоформа:'сидели' Частота:4 IPM:249
Словоформа:'спала' Частота:4 IPM:249
Словоформа:'старик' Частота:4 IPM:249
Словоформа:'стола' Частота:4 IPM:249
Словоформа:'столько' Частота:4 IPM:249
Словоформа:'стороны' Частота:4 IPM:249
Словоформа:'стояли' Частота:4 IPM:249
Словоформа:'такая' Частота:4 IPM:249
Словоформа:'театральное' Частота:4 IPM:249
Словоформа:'темным' Частота:4 IPM:249
Словоформа:'тихо' Частота:4 IPM:249
Словоформа:'тихонько' Частота:4 IPM:249
Словоформа:'тогда' Частота:4 IPM:249
Словоформа:'тонким' Частота:4 IPM:249
Словоформа:'улыбался' Частота:4 IPM:249
Словоформа:'улыбнулся' Частота:4 IPM:249
Словоформа:'утром' Частота:4 IPM:249
Словоформа:'хотелось' Частота:4 IPM:249
Словоформа:'хотя' Частота:4 IPM:249
Словоформа:'цвета' Частота:4 IPM:249
Словоформа:'четверть' Частота:4 IPM:249
Словоформа:'чтение' Частота:4 IPM:249
Словоформа:'чувство' Частота:4 IPM:249
Словоформа:'чувствовала' Частота:4 IPM:249
Словоформа:'школе' Частота:4 IPM:249
Словоформа:'этому' Частота:4 IPM:249
Словоформа:'ясино' Частота:4 IPM:249
Словоформа:'ясиной' Частота:4 IPM:249
Словоформа:'авигдора' Частота:3 IPM:187
Словоформа:'актера' Частота:3 IPM:187
Словоформа:'александра' Частота:3 IPM:187
Словоформа:'аллеи' Частота:3 IPM:187
Словоформа:'бедрами' Частота:3 IPM:187
Словоформа:'белых' Частота:3 IPM:187
Словоформа:'благодарности' Частота:3 IPM:187
Словоформа:'благодаря' Частота:3 IPM:187
Словоформа:'близко' Частота:3 IPM:187
Словоформа:'большого' Частота:3 IPM:187
Словоформа:'было…' Частота:3 IPM:187
Словоформа:'важно' Частота:3 IPM:187
Словоформа:'велел' Частота:3 IPM:187
Словоформа:'великой' Частота:3 IPM:187
Словоформа:'вечерами' Частота:3 IPM:187
Словоформа:'вечерний' Частота:3 IPM:187
Словоформа:'вечерних' Частота:3 IPM:187
Словоформа:'взгляд' Частота:3 IPM:187
Словоформа:'взглядом' Частота:3 IPM:187
Словоформа:'влюбленности' Частота:3 IPM:187
Словоформа:'вместо' Частота:3 IPM:187
Словоформа:'внимания' Частота:3 IPM:187
Словоформа:'внутренне' Частота:3 IPM:187
Словоформа:'воды' Частота:3 IPM:187
Словоформа:'возле' Частота:3 IPM:187
Словоформа:'возрасте' Частота:3 IPM:187
Словоформа:'восхищалась' Частота:3 IPM:187
Словоформа:'всему' Частота:3 IPM:187
Словоформа:'вслух' Частота:3 IPM:187
Словоформа:'вспоминал' Частота:3 IPM:187
Словоформа:'вспомнить' Частота:3 IPM:187
Словоформа:'вся' Частота:3 IPM:187
Словоформа:'втайне' Частота:3 IPM:187
Словоформа:'вторая' Частота:3 IPM:187
Словоформа:'второй' Частота:3 IPM:187
Словоформа:'главным' Частота:3 IPM:187
Словоформа:'говорил' Частота:3 IPM:187
Словоформа:'говорили' Частота:3 IPM:187
Словоформа:'годами' Частота:3 IPM:187
Словоформа:'году' Частота:3 IPM:187
Словоформа:'гордилась' Частота:3 IPM:187
Словоформа:'гости' Частота:3 IPM:187
Словоформа:'грудь' Частота:3 IPM:187
Словоформа:'губы' Частота:3 IPM:187
Словоформа:'движение' Частота:3 IPM:187
Словоформа:'двумя' Частота:3 IPM:187
Словоформа:'действительно' Частота:3 IPM:187
Словоформа:'дела' Частота:3 IPM:187
Словоформа:'дело' Частота:3 IPM:187
Словоформа:'деревянных' Частота:3 IPM:187
Словоформа:'десятилетия' Частота:3 IPM:187
Словоформа:'доктор' Частота:3 IPM:187
Словоформа:'должны' Частота:3 IPM:187
Словоформа:'дорогу' Частота:3 IPM:187
Словоформа:'доставляло' Частота:3 IPM:187
Словоформа:'друг' Частота:3 IPM:187
Словоформа:'друга' Частота:3 IPM:187
Словоформа:'друзья' Частота:3 IPM:187
Словоформа:'душа' Частота:3 IPM:187
Словоформа:'души' Частота:3 IPM:187
Словоформа:'душу' Частота:3 IPM:187
Словоформа:'европе' Частота:3 IPM:187
Словоформа:'единственным' Частота:3 IPM:187
Словоформа:'женой' Частота:3 IPM:187
Словоформа:'женские' Частота:3 IPM:187
Словоформа:'женщина' Частота:3 IPM:187
Словоформа:'живого' Частота:3 IPM:187
Словоформа:'жили' Частота:3 IPM:187
Словоформа:'заводоуправлении' Частота:3 IPM:187
Словоформа:'заметила' Частота:3 IPM:187
Словоформа:'замирала' Частота:3 IPM:187
Словоформа:'замуж' Частота:3 IPM:187
Словоформа:'зима' Частота:3 IPM:187
Словоформа:'зиму' Частота:3 IPM:187
Словоформа:'изменял' Частота:3 IPM:187
Словоформа:'квартире' Частота:3 IPM:187
Словоформа:'классе' Частота:3 IPM:187
Словоформа:'клетчатой' Частота:3 IPM:187
Словоформа:'книг' Частота:3 IPM:187
Словоформа:'комнаты' Частота:3 IPM:187
Словоформа:'кровати' Частота:3 IPM:187
Словоформа:'кровать' Частота:3 IPM:187
Словоформа:'кроме' Частота:3 IPM:187
Словоформа:'легкой' Частота:3 IPM:187
Словоформа:'лежала' Частота:3 IPM:187
Словоформа:'лежали' Частота:3 IPM:187
Словоформа:'лица' Частота:3 IPM:187
Словоформа:'людьми' Частота:3 IPM:187
Словоформа:'магазине' Частота:3 IPM:187
Словоформа:'маленькой' Частота:3 IPM:187
Словоформа:'малинина' Частота:3 IPM:187
Словоформа:'мальчик' Частота:3 IPM:187
Словоформа:'мебель' Частота:3 IPM:187
Словоформа:'медленно' Частота:3 IPM:187
Словоформа:'мелкие' Частота:3 IPM:187
Словоформа:'мелких' Частота:3 IPM:187
Словоформа:'мелко' Частота:3 IPM:187
Словоформа:'месяца' Частота:3 IPM:187
Словоформа:'минуты' Частота:3 IPM:187
Словоформа:'многие' Частота:3 IPM:187
Словоформа:'многих' Частота:3 IPM:187
Словоформа:'могу' Частота:3 IPM:187
Словоформа:'молча' Частота:3 IPM:187
Словоформа:'момент' Частота:3 IPM:187
Словоформа:'москву' Частота:3 IPM:187
Словоформа:'мужем' Частота:3 IPM:187
Словоформа:'мужчин' Частота:3 IPM:187
Словоформа:'мужчина' Частота:3 IPM:187
Словоформа:'нас' Частота:3 IPM:187
Словоформа:'неделю' Частота:3 IPM:187
Словоформа:'нежно' Частота:3 IPM:187
Словоформа:'некоторое' Частота:3 IPM:187
Словоформа:'немедленно' Частота:3 IPM:187
Словоформа:'нему' Частота:3 IPM:187
Словоформа:'необходимости' Частота:3 IPM:187
Словоформа:'никак' Частота:3 IPM:187
Словоформа:'новой' Частота:3 IPM:187
Словоформа:'ног' Частота:3 IPM:187
Словоформа:'ногами' Частота:3 IPM:187
Словоформа:'носом' Частота:3 IPM:187
Словоформа:'ночевать' Частота:3 IPM:187
Словоформа:'ночной' Частота:3 IPM:187
Словоформа:'об' Частота:3 IPM:187
Словоформа:'обе' Частота:3 IPM:187
Словоформа:'обстоятельствах' Частота:3 IPM:187
Словоформа:'одновременно' Частота:3 IPM:187
Словоформа:'одного' Частота:3 IPM:187
Словоформа:'одном' Частота:3 IPM:187
Словоформа:'одну' Частота:3 IPM:187
Словоформа:'оно' Частота:3 IPM:187
Словоформа:'оставив' Частота:3 IPM:187
Словоформа:'оставила' Частота:3 IPM:187
Словоформа:'отца' Частота:3 IPM:187
Словоформа:'очки' Частота:3 IPM:187
Словоформа:'пальто' Частота:3 IPM:187
Словоформа:'памяти' Частота:3 IPM:187
Словоформа:'парке' Частота:3 IPM:187
Словоформа:'первая' Частота:3 IPM:187
Словоформа:'первых' Частота:3 IPM:187
Словоформа:'писал' Частота:3 IPM:187
Словоформа:'питер' Частота:3 IPM:187
Словоформа:'плакала' Частота:3 IPM:187
Словоформа:'платье' Частота:3 IPM:187
Словоформа:'плечи' Частота:3 IPM:187
Словоформа:'плечо' Частота:3 IPM:187
Словоформа:'плотными' Частота:3 IPM:187
Словоформа:'подруги' Частота:3 IPM:187
Словоформа:'поисках' Частота:3 IPM:187
Словоформа:'полное' Частота:3 IPM:187
Словоформа:'полной' Частота:3 IPM:187
